# MD Simulation - NVT Ensemble
# Timestep: 0.1 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
         1        0.100       331.99      0.03469498   -756.73207505   -756.69738007
         2        0.200       335.22      0.03503158   -756.73204834   -756.69701676
         3        0.300       331.69      0.03466293   -756.73196244   -756.69729951
         4        0.400       326.87      0.03415936   -756.73182338   -756.69766402
         5        0.500       321.63      0.03361154   -756.73163994   -756.69802840
         6        0.600       308.72      0.03226271   -756.73142398   -756.69916127
         7        0.700       299.72      0.03132178   -756.73119264   -756.69987086
         8        0.800       290.60      0.03036900   -756.73096038   -756.70059138
         9        0.900       278.89      0.02914497   -756.73074183   -756.70159686
        10        1.000       277.98      0.02905042   -756.73055282   -756.70150240
        11        1.100       273.44      0.02857604   -756.73040072   -756.70182468
        12        1.200       270.96      0.02831634   -756.73029600   -756.70197966
        13        1.300       268.10      0.02801767   -756.73024413   -756.70222646
        14        1.400       268.12      0.02801940   -756.73024826   -756.70222886
        15        1.500       266.50      0.02785066   -756.73030770   -756.70245704
        16        1.600       271.44      0.02836637   -756.73041884   -756.70205246
        17        1.700       276.79      0.02892618   -756.73057494   -756.70164876
        18        1.800       288.10      0.03010832   -756.73076699   -756.70065867
        19        1.900       299.22      0.03126983   -756.73098481   -756.69971498
        20        2.000       305.91      0.03196927   -756.73121514   -756.69924587
        21        2.100       309.82      0.03237750   -756.73144375   -756.69906624
        22        2.200       320.83      0.03352876   -756.73165859   -756.69812982
        23        2.300       325.00      0.03396399   -756.73185061   -756.69788662
        24        2.400       329.09      0.03439127   -756.73200895   -756.69761768
        25        2.500       333.65      0.03486771   -756.73212723   -756.69725952
        26        2.600       342.11      0.03575161   -756.73220083   -756.69644922
        27        2.700       346.05      0.03616396   -756.73222719   -756.69606322
        28        2.800       337.44      0.03526381   -756.73220518   -756.69694137
        29        2.900       336.53      0.03516911   -756.73213936   -756.69697025
        30        3.000       331.92      0.03468707   -756.73203646   -756.69734939
        31        3.100       325.62      0.03402932   -756.73190476   -756.69787544
        32        3.200       327.14      0.03418717   -756.73175542   -756.69756825
        33        3.300       321.40      0.03358792   -756.73159694   -756.69800902
        34        3.400       315.88      0.03301097   -756.73144284   -756.69843187
        35        3.500       310.50      0.03244827   -756.73130573   -756.69885747
        36        3.600       306.97      0.03207986   -756.73119761   -756.69911776
        37        3.700       306.07      0.03198540   -756.73112780   -756.69914240
        38        3.800       301.74      0.03153337   -756.73110432   -756.69957095
        39        3.900       298.97      0.03124428   -756.73113155   -756.69988728
        40        4.000       299.28      0.03127641   -756.73121030   -756.69993389
        41        4.100       300.64      0.03141800   -756.73133742   -756.69991942
        42        4.200       309.85      0.03238053   -756.73150547   -756.69912494
        43        4.300       322.65      0.03371850   -756.73170425   -756.69798576
        44        4.400       327.28      0.03420285   -756.73191958   -756.69771673
        45        4.500       336.51      0.03516739   -756.73213288   -756.69696549
        46        4.600       349.96      0.03657280   -756.73232900   -756.69575619
        47        4.700       359.71      0.03759137   -756.73249309   -756.69490171
        48        4.800       362.18      0.03784920   -756.73260937   -756.69476017
        49        4.900       367.52      0.03840808   -756.73266720   -756.69425912
        50        5.000       372.78      0.03895686   -756.73266072   -756.69370386
        51        5.100       367.07      0.03836075   -756.73258736   -756.69422661
