# MD Simulation - NVT Ensemble
# Timestep: 1 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
         1        1.000       257.48      0.02690815   -756.80058473   -756.77367658
         2        2.000       218.39      0.02282290   -756.79978398   -756.77696108
         3        3.000       173.13      0.01809300   -756.79797031   -756.77987731
         4        4.000       218.57      0.02284190   -756.79974490   -756.77690301
         5        5.000       233.53      0.02440452   -756.79991495   -756.77551043
         6        6.000       213.00      0.02225969   -756.79951997   -756.77726029
         7        7.000       154.16      0.01611075   -756.79727806   -756.78116731
         8        8.000       134.63      0.01406970   -756.79661070   -756.78254100
         9        9.000       172.94      0.01807313   -756.79772084   -756.77964771
        10       10.000       220.55      0.02304852   -756.79924559   -756.77619707
        11       11.000       228.08      0.02383587   -756.79931151   -756.77547565
        12       12.000       185.42      0.01937748   -756.79782700   -756.77844952
        13       13.000       169.96      0.01776120   -756.79741411   -756.77965291
        14       14.000       188.43      0.01969135   -756.79773907   -756.77804772
        15       15.000       237.03      0.02477091   -756.79945479   -756.77468387
        16       16.000       214.41      0.02240696   -756.79855552   -756.77614856
        17       17.000       187.81      0.01962696   -756.79797125   -756.77834429
        18       18.000       150.15      0.01569143   -756.79643662   -756.78074519
        19       19.000       183.00      0.01912469   -756.79771884   -756.77859415
        20       20.000       208.74      0.02181481   -756.79837587   -756.77656106
        21       21.000       216.31      0.02260536   -756.79858899   -756.77598362
        22       22.000       183.87      0.01921520   -756.79762990   -756.77841469
        23       23.000       169.96      0.01776202   -756.79692384   -756.77916182
        24       24.000       199.87      0.02088787   -756.79812500   -756.77723713
        25       25.000       229.16      0.02394868   -756.79895950   -756.77501082
        26       26.000       240.53      0.02513681   -756.79947199   -756.77433518
        27       27.000       188.56      0.01970524   -756.79746451   -756.77775927
        28       28.000       164.21      0.01716082   -756.79679578   -756.77963495
        29       29.000       165.37      0.01728154   -756.79675572   -756.77947418
        30       30.000       208.64      0.02180436   -756.79830346   -756.77649910
        31       31.000       207.71      0.02170638   -756.79791160   -756.77620522
        32       32.000       166.59      0.01740924   -756.79683065   -756.77942141
        33       33.000       130.95      0.01368489   -756.79550202   -756.78181713
        34       34.000       159.55      0.01667422   -756.79653366   -756.77985945
        35       35.000       220.30      0.02302236   -756.79819916   -756.77517680
        36       36.000       265.20      0.02771485   -756.79951703   -756.77180218
        37       37.000       248.12      0.02592926   -756.79867534   -756.77274608
        38       38.000       219.85      0.02297506   -756.79772708   -756.77475202
        39       39.000       231.17      0.02415786   -756.79820785   -756.77404999
        40       40.000       279.82      0.02924300   -756.79961839   -756.77037539
        41       41.000       300.25      0.03137747   -756.80054408   -756.76916661
        42       42.000       257.66      0.02692675   -756.79919064   -756.77226389
        43       43.000       214.60      0.02242677   -756.79771594   -756.77528916
        44       44.000       189.25      0.01977763   -756.79683871   -756.77706108
        45       45.000       212.48      0.02220557   -756.79760701   -756.77540143
        46       46.000       232.80      0.02432852   -756.79815668   -756.77382816
        47       47.000       212.33      0.02218906   -756.79736855   -756.77517949
        48       48.000       183.00      0.01912481   -756.79656517   -756.77744036
        49       49.000       170.72      0.01784064   -756.79626510   -756.77842446
        50       50.000       218.24      0.02280740   -756.79787796   -756.77507056
        51       51.000       241.77      0.02526573   -756.79865635   -756.77339062
        52       52.000       245.79      0.02568621   -756.79894293   -756.77325672
        53       53.000       224.02      0.02341151   -756.79830280   -756.77489128
        54       54.000       227.63      0.02378825   -756.79849731   -756.77470905
        55       55.000       263.67      0.02755478   -756.79947827   -756.77192349
        56       56.000       279.75      0.02923544   -756.79986774   -756.77063230
        57       57.000       260.56      0.02722931   -756.79948735   -756.77225803
        58       58.000       221.98      0.02319824   -756.79812430   -756.77492606
        59       59.000       225.51      0.02356696   -756.79832414   -756.77475718
        60       60.000       251.31      0.02626360   -756.79894934   -756.77268574
        61       61.000       285.87      0.02987443   -756.80011591   -756.77024148
        62       62.000       255.44      0.02669441   -756.79885051   -756.77215610
        63       63.000       242.82      0.02537621   -756.79852710   -756.77315088
        64       64.000       229.14      0.02394670   -756.79787428   -756.77392757
        65       65.000       277.88      0.02903950   -756.79984962   -756.77081012
        66       66.000       286.97      0.02998980   -756.80007095   -756.77008115
        67       67.000       284.09      0.02968877   -756.80026532   -756.77057654
        68       68.000       234.11      0.02446591   -756.79831752   -756.77385161
        69       69.000       223.77      0.02338513   -756.79823298   -756.77484785
        70       70.000       237.40      0.02480943   -756.79854732   -756.77373789
        71       71.000       264.00      0.02758964   -756.79943120   -756.77184156
        72       72.000       252.76      0.02641507   -756.79895148   -756.77253641
        73       73.000       211.79      0.02213356   -756.79753621   -756.77540265
        74       74.000       210.88      0.02203826   -756.79764959   -756.77561133
        75       75.000       212.89      0.02224750   -756.79739725   -756.77514975
        76       76.000       258.25      0.02698809   -756.79930636   -756.77231827
        77       77.000       248.79      0.02599937   -756.79872143   -756.77272206
        78       78.000       253.90      0.02653423   -756.79917189   -756.77263765
        79       79.000       240.69      0.02515317   -756.79838596   -756.77323279
        80       80.000       260.93      0.02726842   -756.79929182   -756.77202340
        81       81.000       257.97      0.02695953   -756.79921310   -756.77225357
        82       82.000       252.71      0.02640932   -756.79915727   -756.77274795
        83       83.000       232.54      0.02430119   -756.79839322   -756.77409203
        84       84.000       223.25      0.02333096   -756.79831608   -756.77498512
        85       85.000       211.99      0.02215446   -756.79813562   -756.77598116
        86       86.000       206.72      0.02160312   -756.79792965   -756.77632653
        87       87.000       186.73      0.01951439   -756.79748039   -756.77796600
        88       88.000       168.63      0.01762244   -756.79665829   -756.77903585
        89       89.000       193.53      0.02022470   -756.79776598   -756.77754129
        90       90.000       211.97      0.02215166   -756.79794668   -756.77579503
        91       91.000       256.59      0.02681508   -756.79963314   -756.77281806
        92       92.000       221.74      0.02317323   -756.79787305   -756.77469982
        93       93.000       241.63      0.02525175   -756.79880765   -756.77355590
        94       94.000       228.39      0.02386794   -756.79800318   -756.77413523
        95       95.000       292.10      0.03052615   -756.80049550   -756.76996936
        96       96.000       294.67      0.03079429   -756.80030828   -756.76951399
        97       97.000       279.46      0.02920470   -756.80018152   -756.77097682
        98       98.000       220.30      0.02302217   -756.79813383   -756.77511166
        99       99.000       213.72      0.02233501   -756.79799880   -756.77566379
       100      100.000       248.41      0.02596019   -756.79897212   -756.77301193
       101      101.000       297.87      0.03112869   -756.80047956   -756.76935086
       102      102.000       287.95      0.03009206   -756.80004252   -756.76995047
       103      103.000       250.08      0.02613422   -756.79900121   -756.77286699
       104      104.000       233.94      0.02444756   -756.79860623   -756.77415867
       105      105.000       275.05      0.02874405   -756.79983652   -756.77109247
       106      106.000       334.38      0.03494430   -756.80201310   -756.76706881
       107      107.000       337.60      0.03528066   -756.80188869   -756.76660803
       108      108.000       314.79      0.03289658   -756.80133905   -756.76844247
       109      109.000       260.88      0.02726324   -756.79950371   -756.77224047
       110      110.000       275.22      0.02876146   -756.80035917   -756.77159771
       111      111.000       296.25      0.03095943   -756.80091912   -756.76995968
       112      112.000       309.57      0.03235190   -756.80149371   -756.76914181
       113      113.000       271.99      0.02842418   -756.80042341   -756.77199923
       114      114.000       238.34      0.02490786   -756.79939226   -756.77448440
       115      115.000       256.10      0.02676326   -756.79979057   -756.77302731
       116      116.000       292.67      0.03058584   -756.80097144   -756.77038560
       117      117.000       330.33      0.03452061   -756.80231188   -756.76779127
       118      118.000       323.82      0.03384028   -756.80172530   -756.76788502
       119      119.000       323.24      0.03378050   -756.80173021   -756.76794970
