# MD Simulation - NVT Ensemble
# Timestep: 0.5 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
         1        0.500       389.43      0.04069697   -756.58247325   -756.54177628
         2        1.000       422.05      0.04410614   -756.58948347   -756.54537733
         3        1.500       290.33      0.03034078   -756.59417870   -756.56383792
         4        2.000       324.25      0.03388570   -756.59701729   -756.56313158
         5        2.500       327.63      0.03423910   -756.60005109   -756.56581199
         6        3.000       361.12      0.03773867   -756.60369996   -756.56596129
         7        3.500       349.05      0.03647774   -756.60589803   -756.56942028
         8        4.000       323.67      0.03382514   -756.60890126   -756.57507613
         9        4.500       274.49      0.02868571   -756.61330112   -756.58461541
        10        5.000       283.37      0.02961335   -756.61640158   -756.58678822
        11        5.500       411.25      0.04297764   -756.61925496   -756.57627732
        12        6.000       383.73      0.04010169   -756.62212333   -756.58202164
        13        6.500       379.97      0.03970851   -756.62224109   -756.58253258
        14        7.000       343.91      0.03594035   -756.62424724   -756.58830689
        15        7.500       362.30      0.03786165   -756.62723352   -756.58937187
        16        8.000       311.35      0.03253722   -756.63010722   -756.59757000
        17        8.500       284.93      0.02977687   -756.63074129   -756.60096443
        18        9.000       338.18      0.03534102   -756.63266452   -756.59732350
        19        9.500       259.36      0.02710419   -756.63540877   -756.60830458
        20       10.000       254.08      0.02655280   -756.63655424   -756.61000144
        21       10.500       321.40      0.03358767   -756.63604921   -756.60246154
        22       11.000       353.65      0.03695805   -756.63735478   -756.60039673
        23       11.500       413.87      0.04325130   -756.63922523   -756.59597393
        24       12.000       294.64      0.03079129   -756.64019925   -756.60940797
        25       12.500       346.76      0.03623855   -756.64242634   -756.60618779
        26       13.000       318.72      0.03330817   -756.64422965   -756.61092147
        27       13.500       257.70      0.02693048   -756.64540519   -756.61847471
        28       14.000       387.11      0.04045464   -756.64734377   -756.60688913
        29       14.500       344.82      0.03603560   -756.64832810   -756.61229249
        30       15.000       336.77      0.03519443   -756.64867794   -756.61348350
        31       15.500       300.80      0.03143539   -756.64963689   -756.61820150
        32       16.000       286.80      0.02997154   -756.65055456   -756.62058301
        33       16.500       322.96      0.03375070   -756.65271408   -756.61896337
        34       17.000       387.22      0.04046643   -756.65383270   -756.61336627
        35       17.500       371.18      0.03879060   -756.65377999   -756.61498939
        36       18.000       471.00      0.04922185   -756.65509979   -756.60587794
        37       18.500       325.68      0.03403476   -756.65604830   -756.62201354
        38       19.000       263.94      0.02758289   -756.65758545   -756.63000256
        39       19.500       389.92      0.04074808   -756.65865922   -756.61791113
        40       20.000       317.17      0.03314601   -756.65933156   -756.62618554
        41       20.500       308.54      0.03224341   -756.65993268   -756.62768927
        42       21.000       391.36      0.04089948   -756.66085091   -756.61995143
        43       21.500       324.64      0.03392613   -756.66105622   -756.62713009
        44       22.000       358.44      0.03745889   -756.66164493   -756.62418604
        45       22.500       345.57      0.03611320   -756.66207356   -756.62596036
        46       23.000       280.18      0.02927972   -756.66109273   -756.63181302
        47       23.500       341.20      0.03565696   -756.66248855   -756.62683159
        48       24.000       344.34      0.03598521   -756.66301989   -756.62703468
        49       24.500       360.91      0.03771730   -756.66393847   -756.62622118
        50       25.000       257.57      0.02691765   -756.66418867   -756.63727102
        51       25.500       339.40      0.03546874   -756.66572986   -756.63026112
        52       26.000       309.40      0.03233339   -756.66572288   -756.63338949
        53       26.500       333.34      0.03483552   -756.66698454   -756.63214902
        54       27.000       362.32      0.03786402   -756.66722338   -756.62935936
        55       27.500       283.38      0.02961437   -756.66744999   -756.63783563
        56       28.000       363.04      0.03793962   -756.66835638   -756.63041676
        57       28.500       305.75      0.03195241   -756.66872577   -756.63677336
        58       29.000       271.52      0.02837497   -756.66964495   -756.64126998
        59       29.500       309.89      0.03238483   -756.66948398   -756.63709915
        60       30.000       331.39      0.03463215   -756.66952551   -756.63489336
        61       30.500       351.22      0.03670423   -756.66950816   -756.63280393
        62       31.000       260.61      0.02723531   -756.67053482   -756.64329951
        63       31.500       265.54      0.02774979   -756.67152710   -756.64377731
        64       32.000       325.28      0.03399367   -756.67106659   -756.63707292
        65       32.500       259.02      0.02706848   -756.67248904   -756.64542055
        66       33.000       278.28      0.02908177   -756.67315125   -756.64406948
        67       33.500       305.17      0.03189143   -756.67404354   -756.64215211
        68       34.000       351.10      0.03669185   -756.67420970   -756.63751785
        69       34.500       298.21      0.03116448   -756.67376621   -756.64260173
        70       35.000       334.26      0.03493137   -756.67356084   -756.63862947
        71       35.500       394.47      0.04122348   -756.67432486   -756.63310138
        72       36.000       221.31      0.02312801   -756.67498925   -756.65186123
        73       36.500       357.47      0.03735768   -756.67563355   -756.63827587
        74       37.000       241.77      0.02526587   -756.67659439   -756.65132852
        75       37.500       318.65      0.03330096   -756.67752752   -756.64422656
        76       38.000       277.13      0.02896164   -756.67796452   -756.64900288
